,edit_count,sentiment,neg_sentiment
2006-10-18,0.4,0.016425115153903054,0.016666666666666666
2006-10-19,0.4,0.016425115153903054,0.016666666666666666
2006-10-20,0.4,0.016425115153903054,0.016666666666666666
2006-10-21,0.4,0.016425115153903054,0.016666666666666666
2006-10-22,0.4,0.016425115153903054,0.016666666666666666
2006-10-23,0.4,0.016425115153903054,0.016666666666666666
2006-10-24,0.43333333333333335,0.04275756904057094,0.016666666666666666
2006-10-25,0.43333333333333335,0.04275756904057094,0.016666666666666666
2006-10-26,0.43333333333333335,0.04275756904057094,0.016666666666666666
2006-10-27,0.43333333333333335,0.04275756904057094,0.016666666666666666
2006-10-28,0.43333333333333335,0.04275756904057094,0.016666666666666666
2006-10-29,0.43333333333333335,0.04275756904057094,0.016666666666666666
2006-10-30,0.4,0.04275756904057094,0.016666666666666666
